time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,3.13288,0,38
2,2010-01-03,00:00:00.00,0.375456,0,27
3,2010-01-04,00:00:00.00,0.957869,0,22
4,2010-01-05,00:00:00.00,0.359132,0,26
5,2010-01-06,00:00:00.00,2.16517,0,31
6,2010-01-07,00:00:00.00,0.217311,0,30.5
7,2010-01-08,00:00:00.00,0.849251,0,34
8,2010-01-09,00:00:00.00,2.41575,0,30
9,2010-01-10,00:00:00.00,0.0164141,0,26
10,2010-01-11,00:00:00.00,0.0152441,0,25
11,2010-01-12,00:00:00.00,3.41194,0,26.2
12,2010-01-13,00:00:00.00,0.312052,0,28
13,2010-01-14,00:00:00.00,0.00996429,0,28.2
14,2010-01-15,00:00:00.00,0.073359,0,26
15,2010-01-16,00:00:00.00,0.386165,0,30.2
16,2010-01-17,00:00:00.00,0.0506065,0.000494275,33.2
17,2010-01-18,00:00:00.00,0.014589,0.00100029,32.3
18,2010-01-19,00:00:00.00,0.0170068,0.000968513,31.7
19,2010-01-20,00:00:00.00,1.38867,0.00096865,30
20,2010-01-21,00:00:00.00,0.331341,0.000944613,28
21,2010-01-22,00:00:00.00,0.0062955,0.00081562,26
22,2010-01-23,00:00:00.00,0.0120958,0.000704027,27
23,2010-01-24,00:00:00.00,0.0057878,0.000614709,28.2
24,2010-01-25,00:00:00.00,6.35171,0.0217027,29
25,2010-01-26,00:00:00.00,8.66968,2.11329,46.6
26,2010-01-27,00:00:00.00,2.70666,6.94305,54
27,2010-01-28,00:00:00.00,3.17713,9.37042,47
28,2010-01-29,00:00:00.00,4.52256,8.44961,33
29,2010-01-30,00:00:00.00,1.29774,7.22689,28
30,2010-01-31,00:00:00.00,0.031994,6.0153,29
31,2010-02-01,00:00:00.00,5.17194,4.94694,31
32,2010-02-02,00:00:00.00,0.826456,4.04896,29.5
33,2010-02-03,00:00:00.00,1.89002,3.31837,28
34,2010-02-04,00:00:00.00,1.44102,2.74425,26.2
35,2010-02-05,00:00:00.00,0.0215176,2.30044,25.5
36,2010-02-06,00:00:00.00,0.00156914,1.9614,26
37,2010-02-07,00:00:00.00,0.00865093,1.70413,24.5
38,2010-02-08,00:00:00.00,0.0177345,1.51398,23.7
39,2010-02-09,00:00:00.00,0.00646028,1.37511,25
40,2010-02-10,00:00:00.00,1.43234,1.26943,26
41,2010-02-11,00:00:00.00,3.29919,1.18833,25.8
42,2010-02-12,00:00:00.00,0.00843558,1.12419,25.6
43,2010-02-13,00:00:00.00,0.366178,1.07408,26.2
44,2010-02-14,00:00:00.00,0.288712,1.03558,27
45,2010-02-15,00:00:00.00,1.17869,1.00486,26.1
46,2010-02-16,00:00:00.00,0.839803,0.978984,25.7
47,2010-02-17,00:00:00.00,0.456166,0.955927,25.2
48,2010-02-18,00:00:00.00,0.264093,0.936565,25
49,2010-02-19,00:00:00.00,0.0858129,0.919058,24.8
50,2010-02-20,00:00:00.00,0.0308692,0.901986,24.5
51,2010-02-21,00:00:00.00,0.00305224,0.886101,24
52,2010-02-22,00:00:00.00,0.00197795,0.871746,23.6
53,2010-02-23,00:00:00.00,11.5588,0.858348,24.5
