time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.59523,0,6.3
2,2010-01-03,00:00:00.00,0.122728,0,5.78
3,2010-01-04,00:00:00.00,0.758832,0,5.2
4,2010-01-05,00:00:00.00,0.338655,0,5.12
5,2010-01-06,00:00:00.00,4.15975,0,5.08
6,2010-01-07,00:00:00.00,0.132414,0,5.05
7,2010-01-08,00:00:00.00,4.89942,0,5.02
8,2010-01-09,00:00:00.00,3.69357,0,4.95
9,2010-01-10,00:00:00.00,0.0108148,0,4.9
10,2010-01-11,00:00:00.00,0.159805,0,4.8
11,2010-01-12,00:00:00.00,2.52417,0,4.85
12,2010-01-13,00:00:00.00,0.0742764,0,4.75
13,2010-01-14,00:00:00.00,0.000927337,0,4.7
14,2010-01-15,00:00:00.00,0.110436,0,4.65
15,2010-01-16,00:00:00.00,0.324049,0,4.6
16,2010-01-17,00:00:00.00,0.00548248,0.00890996,4.52
17,2010-01-18,00:00:00.00,0.00137378,0.0195675,4.5
18,2010-01-19,00:00:00.00,0.00261631,0.0352325,4.48
19,2010-01-20,00:00:00.00,0.0632238,0.0518213,4.45
20,2010-01-21,00:00:00.00,0.0245355,0.0564216,4.42
21,2010-01-22,00:00:00.00,0.000673235,0.059767,4.41
22,2010-01-23,00:00:00.00,0.00682257,0.0622044,4.4
23,2010-01-24,00:00:00.00,0.000422282,0.0639186,4.39
24,2010-01-25,00:00:00.00,12.0889,0.0854417,4.7
25,2010-01-26,00:00:00.00,10.4073,0.234427,10.2
26,2010-01-27,00:00:00.00,1.19565,0.385602,12.8
27,2010-01-28,00:00:00.00,1.38283,0.421403,10.4
28,2010-01-29,00:00:00.00,2.5567,0.440501,9.5
29,2010-01-30,00:00:00.00,0.349612,0.448949,6.75
30,2010-01-31,00:00:00.00,0.0419448,0.450746,5.8
31,2010-02-01,00:00:00.00,0.705855,0.448784,5.3
32,2010-02-02,00:00:00.00,0.25536,0.444157,5.2
33,2010-02-03,00:00:00.00,2.31467,0.437689,5.1
34,2010-02-04,00:00:00.00,0.427024,0.430622,4.98
35,2010-02-05,00:00:00.00,0.140358,0.423431,4.83
36,2010-02-06,00:00:00.00,0.000429333,0.416495,4.7
37,2010-02-07,00:00:00.00,0.01955,0.410052,4.63
38,2010-02-08,00:00:00.00,1.75231e-308,0.404594,4.57
39,2010-02-09,00:00:00.00,2.907e-308,0.400205,4.51
40,2010-02-10,00:00:00.00,2.14208,0.396179,4.42
41,2010-02-11,00:00:00.00,4.89533,0.392324,4.37
42,2010-02-12,00:00:00.00,0.00636512,0.388411,4.33
43,2010-02-13,00:00:00.00,0.118263,0.384743,4.29
44,2010-02-14,00:00:00.00,0.637771,0.381578,4.24
45,2010-02-15,00:00:00.00,1.1414,0.378598,4.2
46,2010-02-16,00:00:00.00,0.166406,0.375611,4.15
47,2010-02-17,00:00:00.00,0.41511,0.372576,4.13
48,2010-02-18,00:00:00.00,0.343188,0.369724,4.1
49,2010-02-19,00:00:00.00,0.00749923,0.366878,4.05
50,2010-02-20,00:00:00.00,0.00424644,0.363869,4.02
51,2010-02-21,00:00:00.00,0.000262179,0.360855,3.98
52,2010-02-22,00:00:00.00,1.4256e-308,0.358014,3.97
53,2010-02-23,00:00:00.00,11.5801,0.355124,3.96
54,2010-02-24,00:00:00.00,1.11325,0.352226,3.95
55,2010-02-25,00:00:00.00,0.349296,0.349917,3.94
56,2010-02-26,00:00:00.00,2.081,0.347573,3.93
57,2010-02-27,00:00:00.00,4.66544,0.344998,3.92
58,2010-02-28,00:00:00.00,1.30896,0.342406,3.91
59,2010-03-01,00:00:00.00,0.0291561,0.354105,3.9
60,2010-03-02,00:00:00.00,0.0013826,0.388478,3.86
61,2010-03-03,00:00:00.00,0.00295263,0.407,3.85
62,2010-03-04,00:00:00.00,0.000291911,0.401767,4
63,2010-03-05,00:00:00.00,4.86025e-308,0.396631,4.55
