time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,3.91209,0,16
2,2010-01-03,00:00:00.00,0.204723,0,17
3,2010-01-04,00:00:00.00,0.506195,0,16
4,2010-01-05,00:00:00.00,0.200665,0,18
5,2010-01-06,00:00:00.00,1.58185,0,21
6,2010-01-07,00:00:00.00,0.0657996,0,24
7,2010-01-08,00:00:00.00,1.17278,0,21.5
8,2010-01-09,00:00:00.00,3.3046,0,20
9,2010-01-10,00:00:00.00,0.0114681,0,18.5
10,2010-01-11,00:00:00.00,0.014007,0,17
11,2010-01-12,00:00:00.00,3.46452,0,16
12,2010-01-13,00:00:00.00,0.148147,0,15
13,2010-01-14,00:00:00.00,0.00423135,0,14
14,2010-01-15,00:00:00.00,0.0339092,0,13
15,2010-01-16,00:00:00.00,0.144632,0,12
16,2010-01-17,00:00:00.00,0.0387473,0.00374448,11.5
17,2010-01-18,00:00:00.00,0.0133671,0.00550861,11
18,2010-01-19,00:00:00.00,0.0132055,0.00262074,10.5
19,2010-01-20,00:00:00.00,0.78549,0.0013104,9.8
20,2010-01-21,00:00:00.00,0.145921,0.000733214,9.3
21,2010-01-22,00:00:00.00,0.00129593,0.00048524,8.9
22,2010-01-23,00:00:00.00,0.00234168,0.000381477,8.5
23,2010-01-24,00:00:00.00,0.00801817,0.000339531,8.1
24,2010-01-25,00:00:00.00,6.83798,0.00141365,7.7
25,2010-01-26,00:00:00.00,8.21331,2.32049,11
26,2010-01-27,00:00:00.00,2.73412,4.89973,18
27,2010-01-28,00:00:00.00,2.62288,4.72737,36
28,2010-01-29,00:00:00.00,3.5459,3.74881,25
29,2010-01-30,00:00:00.00,1.04226,2.73667,17
30,2010-01-31,00:00:00.00,0.0142082,1.92091,14.5
31,2010-02-01,00:00:00.00,4.04122,1.3261,13
32,2010-02-02,00:00:00.00,0.559216,0.906365,11.5
33,2010-02-03,00:00:00.00,2.52135,0.617545,10
34,2010-02-04,00:00:00.00,1.31325,0.42776,8.7
35,2010-02-05,00:00:00.00,0.0507882,0.306347,8
36,2010-02-06,00:00:00.00,0.00177541,0.230755,7.2
